x,y,z,cut,au,ug1,ug2,Ica_1,Ica_2
193,528.6,39,0.12,0,4,10,0.1770812683,-0.1977996385
335.1,38,97,0.13,0.028,4,10,0.1920950274,-0.2087547417
250.7,593.4,36,0.13,0.027,4,10,0.1920858493,-0.2089521774
275.8,517.2,86.1,0.19,0,4,10,0.2803786748,-0.3131827609
256.1,529.1,61.8,0.19,0.039,4,10,0.2807366206,-0.3054827681
335.1,38,109,0.19,0.013,4,10,0.28049799,-0.3106160966
250.7,593.4,24,0.19,0.026,4,10,0.2806173053,-0.3080494324
394.9,218.3,133.2,0.21,0.022,4,10,0.3100941376,-0.3418057816
250.7,593.4,48,0.22,0.026,4,10,0.3248876224,-0.357499342
335.1,38,85,0.22,0.149,4,10,0.3260165284,-0.3332147492
275.8,517.2,98.1,0.24,0,4,10,0.3541625366,-0.3955992769
370.8,473.3,120.1,0.24,0.047,4,10,0.3545939071,-0.3863197984
273.6,495,108,0.24,0,4,10,0.3541625366,-0.3955992769
144,584.4,52.2,0.24,0.019,4,10,0.3543369204,-0.3918479984
204.9,527.6,11.2,0.25,0.061,4,10,0.3694791729,-0.4000390016
375.6,352.2,72.2,0.25,0.015,4,10,0.3690569804,-0.4091210444
257,503.4,34,0.26,0.028,4,10,0.383933068,-0.4230376834
362.5,61.2,89.3,0.26,0.033,4,10,0.3839789585,-0.4220505048
250.7,593.4,12,0.26,0.027,4,10,0.3839238899,-0.4232351191
218.3,592.5,24.1,0.27,0.375,4,10,0.4018746401,-0.371010794
335.1,38,121,0.27,0.271,4,10,0.400920118,-0.3915441082
213.4,527.8,19.6,0.28,0.085,4,10,0.4139697643,-0.4447504541
250.9,470.3,74.3,0.28,0,4,10,0.413189626,-0.4615324898
360.5,535,125.5,0.28,0.035,4,10,0.4135108594,-0.4546222398
375.6,352.2,132.2,0.28,0.089,4,10,0.4140064766,-0.4439607113
193,528.6,72,0.28,0.142,4,10,0.4144929158,-0.4334966184
135.9,585.2,74.8,0.29,0.04,4,10,0.4283135222,-0.4701183644
139.9,584.8,63.5,0.29,0.101,4,10,0.4288733862,-0.4580747859
375.6,352.2,60.2,0.29,0.027,4,10,0.428194207,-0.4726850287
250.2,533,108,0.29,0.003,4,10,0.4279739326,-0.4774234858
250.7,593.4,60,0.29,0.012,4,10,0.4280565355,-0.4756465644
247.6,528.9,53.3,0.3,0.196,4,10,0.4445020778,-0.4558016963
375.6,352.2,120.2,0.3,0.145,4,10,0.4440339948,-0.4658709177
307.1,443.5,114,0.3,0,4,10,0.4427031707,-0.4944990962
257,503.4,22,0.31,0,4,10,0.4574599431,-0.5109823994
312.5,502,34.6,0.31,0.027,4,10,0.4577077517,-0.5056516351
139.8,593.4,54.8,0.31,0.038,4,10,0.4578087108,-0.5034798423
283.7,550.7,132,0.31,0,4,10,0.4574599431,-0.5109823994
309.3,500.8,131,0.31,0.023,4,10,0.4576710393,-0.506441378
317.8,505.6,44.7,0.31,0.081,4,10,0.4582033689,-0.4949901066
315.9,530.9,120.8,0.31,0.085,4,10,0.4582400813,-0.4942003637
250.2,533,120,0.32,0.026,4,10,0.4724553459,-0.522332374
103.2,20.4,24.6,0.32,0.026,4,10,0.4724553459,-0.522332374
273.2,529.7,78.6,0.33,0.071,4,10,0.4876251327,-0.5299310701
157.1,38.7,84.2,0.33,0.329,4,10,0.4899930818,-0.4789926561
131.8,585.6,86.1,0.33,0.15,4,10,0.4883502024,-0.5143336488
370.8,473.3,132.1,0.33,0.134,4,10,0.4882033528,-0.5174926202
302,470.8,125.1,0.33,0,4,10,0.4869734878,-0.5439490058
257.8,510.7,108,0.34,0,4,10,0.5017302601,-0.560432309
257,503.4,46,0.34,0.041,4,10,0.5021065621,-0.5523374447
377,352.9,123.7,0.34,0.04,4,10,0.502097384,-0.5525348805
275.8,517.2,122.1,0.34,0,4,10,0.5017302601,-0.560432309
344.5,524,95.2,0.34,0.074,4,10,0.5024094393,-0.5458220662
193,528.6,48,0.34,3.301,4,10,0.5320271595,0.0913029812
157.1,14.2,108.9,0.35,0.125,4,10,0.5176342946,-0.552236148
275.8,517.2,110.1,0.35,0,4,10,0.5164870325,-0.5769156122
273.1,472.9,6,0.35,0.069,4,10,0.5171203212,-0.563292548
333.8,516.6,75,0.35,0.083,4,10,0.5172488146,-0.560528448
307.3,530.7,112.3,0.35,0.155,4,10,0.5179096376,-0.5463130766
242.4,470.2,65.9,0.35,0.063,4,10,0.5170652526,-0.5644771622
159.3,35.9,72,0.35,0.16,4,10,0.5179555281,-0.545325898
257,503.4,70,0.35,0.03,4,10,0.5167623754,-0.5709925408
193,528.6,60,0.36,0.241,4,10,0.5334557263,-0.5458169085
335.1,38,73,0.36,0.493,4,10,0.5357686068,-0.4960631087
257,503.4,58,0.36,0.223,4,10,0.5332905205,-0.5493707513
335.1,38,133,0.36,0.17,4,10,0.5328040814,-0.5598348441
244.1,472.7,84.8,0.36,0.051,4,10,0.5317118878,-0.583329694
259.5,470.3,82.8,0.37,0.106,4,10,0.5469734555,-0.588954033
260.7,472.5,39.8,0.37,0.276,4,10,0.5485337321,-0.5553899617
310.3,473.1,24,0.37,0.752,4,10,0.5529025064,-0.4614105621
250.2,533,88,0.37,0.029,4,10,0.546266742,-0.6041565829
307.1,443.5,126,0.38,0.026,4,10,0.5609959801,-0.6212321933
195.6,532.7,77.6,0.38,0.541,4,10,0.5657227002,-0.5195528008
